ngram,freq,COMP,NEG,NEUT,None,POS,max.value,max.prop
가*,1,0,0,0,0,1,POS,1
가*/있,1,0,0,0,0,1,POS,1
가*/있/었,1,0,0,0,0,1,POS,1
가*,3,0,0,0,0,1,POS,1
가*/ㄴ다*,1,0,0,0,0,1,POS,1
가,17,0,0.470588235,0.235294118,0,0.294117647,NEG,0.470588235
가/되,11,0,0.363636364,0.272727273,0,0.363636364,NEG,0.363636364
가/되/ㄴ,2,0,0,1,0,0,NEUT,1
가/되/ㄹ,1,0,0,1,0,0,NEUT,1
가/되/어,2,0,1,0,0,0,NEG,1
가/되/어야지요,1,0,0,0,0,1,POS,1
가/아니,6,0,0.666666667,0.166666667,0,0.166666667,NEG,0.666666667
가/아니/ㄴ가,1,0,1,0,0,0,NEG,1
가/아니/면,1,0,0,0,0,1,POS,1
가/아니/ㅂ니다,1,0,1,0,0,0,NEG,1
가,112,0.017857143,0.464285714,0.080357143,0.026785714,0.410714286,NEG,0.464285714
가/가능,1,0,0,0,0,1,POS,1
가/가능/하,1,0,0,0,0,1,POS,1
가/가장,2,0,1,0,0,0,NEG,1
가/가장/많이,1,0,1,0,0,0,NEG,1
가/가장/어렵,1,0,1,0,0,0,NEG,1
가/굵,1,0,0,0,0,1,POS,1
가/그,1,0,1,0,0,0,NEG,1
가/그/동안,1,0,1,0,0,0,NEG,1
가/그리,1,0,1,0,0,0,NEG,1
가/그리/밝,1,0,1,0,0,0,NEG,1
가/극대,1,0,1,0,0,0,NEG,1
가/극대/화,1,0,1,0,0,0,NEG,1
가/꺾이,1,0,1,0,0,0,NEG,1
가/꽤,1,0,0,0,0,1,POS,1
가/꽤/맞,1,0,0,0,0,1,POS,1
가/꿈,1,0,0,1,0,0,NEUT,1
가/꿈/에,1,0,0,1,0,0,NEUT,1
가/나,1,1,0,0,0,0,COMP,1
가/나/에게,1,1,0,0,0,0,COMP,1
가/나,1,0,1,0,0,0,NEG,1
가/나오,1,0,1,0,0,0,NEG,1
가/넘,1,0,1,0,0,0,NEG,1
가/넘/습니다,1,0,1,0,0,0,NEG,1
가/높,2,0,0.5,0,0,0.5,NEG,0.5
가/높/아,1,0,0,0,0,1,POS,1
가/느끼,1,0,0,0,0,1,POS,1
가/느끼/어,1,0,0,0,0,1,POS,1
가/늘,2,0,0.5,0,0,0.5,NEG,0.5
가/늘/고,1,0,1,0,0,0,NEG,1
가/다르,1,0,0,1,0,0,NEUT,1
가/다르/게,1,0,0,1,0,0,NEUT,1
가/단절,1,0,1,0,0,0,NEG,1
가/더욱,1,1,0,0,0,0,COMP,1
가/더욱/막중,1,1,0,0,0,0,COMP,1
가/돋아나,1,0,1,0,0,0,NEG,1
가/둘,1,0,0,1,0,0,NEUT,1
가/둘/로,1,0,0,1,0,0,NEUT,1
가/들,1,0,1,0,0,0,NEG,1
가/뛰쳐나오,1,0,0,0,0,1,POS,1
가/막,1,0,0,0,0,1,POS,1
가/막/을,1,0,0,0,0,1,POS,1
가/막대,1,0,0,0,0,1,POS,1
가/막대/하,1,0,0,0,0,1,POS,1
가/많,7,0,0.714285714,0,0,0.285714286,NEG,0.714285714
가/많/고,1,0,0,0,0,1,POS,1
가/많/은,1,0,1,0,0,0,NEG,1
가/많이,1,0,0,0,0,1,POS,1
가/많이/나오,1,0,0,0,0,1,POS,1
가/맞,1,0,1,0,0,0,NEG,1
가/맞/지,1,0,1,0,0,0,NEG,1
가/무대,1,0,0,0,0,1,POS,1
가/무대/를,1,0,0,0,0,1,POS,1
가/바늘,1,0,1,0,0,0,NEG,1
가/바늘/에,1,0,1,0,0,0,NEG,1
가/보,1,0,0,1,0,0,NEUT,1
가/보/기,1,0,0,1,0,0,NEUT,1
가/살아나,1,0,0,0,0,1,POS,1
가/삼위일체,1,0,0,0,0,1,POS,1
가/새,1,0,1,0,0,0,NEG,1
가/새/어,1,0,1,0,0,0,NEG,1
가/생기,2,0,0.5,0,0,0.5,NEG,0.5
가/생기/ㄴ다,1,0,0,0,0,1,POS,1
가/생기/었,1,0,1,0,0,0,NEG,1
가/성행,1,0,1,0,0,0,NEG,1
가/성행/하,1,0,1,0,0,0,NEG,1
가/속하,1,0,1,0,0,0,NEG,1
가/속하/아,1,0,1,0,0,0,NEG,1
가/쉽,2,0,0.5,0,0,0.5,NEG,0.5
가/쉽/게,1,0,1,0,0,0,NEG,1
가/쉽/지,1,0,0,0,0,1,POS,1
가/시급,1,0,1,0,0,0,NEG,1
가/시급/하,1,0,1,0,0,0,NEG,1
가/쏠쏠,1,0,0,0,0,1,POS,1
가/쏠쏠/하,1,0,0,0,0,1,POS,1
가/아프,1,0,0,1,0,0,NEUT,1
가/아프/고,1,0,0,1,0,0,NEUT,1
가/어우러지,1,0,0,0,0,1,POS,1
가/얼마나,3,0,0,0,0,1,POS,1
가/얼마나/오랜,1,0,0,0,0,1,POS,1
가/얼마나/종류,1,0,0,0,0,1,POS,1
가/얼마나/좋,1,0,0,0,0,1,POS,1
가/없,18,0,0.555555556,0.055555556,0.111111111,0.277777778,NEG,0.555555556
가/없/다,2,0,0.5,0.5,0,0,NEG,0.5
가/없/잖아,1,0,1,0,0,0,NEG,1
가/열리,1,0,0,0,0,1,POS,1
가/열리/ㄴ다,1,0,0,0,0,1,POS,1
가/울리,1,0,0,1,0,0,NEUT,1
가/울리/ㄹ,1,0,0,1,0,0,NEUT,1
가/일어나,1,0,1,0,0,0,NEG,1
가/일정,1,0,1,0,0,0,NEG,1
가/일정/하,1,0,1,0,0,0,NEG,1
가/잇따르,1,0,1,0,0,0,NEG,1
가/있,11,0,0.272727273,0.090909091,0.090909091,0.545454545,POS,0.545454545
가/있/나,1,0,0,0,0,1,POS,1
가/있/다,1,0,0,1,0,0,NEUT,1
가/있/어,1,0,1,0,0,0,NEG,1
가/작용,1,0,0,0,0,1,POS,1
가/작용/하,1,0,0,0,0,1,POS,1
가/장주,1,0,0,1,0,0,NEUT,1
가/장주/가,1,0,0,1,0,0,NEUT,1
가/적,1,0,1,0,0,0,NEG,1
가/적/지,1,0,1,0,0,0,NEG,1
가/주장,1,0,0,0,0,1,POS,1
가/주장/하,1,0,0,0,0,1,POS,1
가/죽,1,0,1,0,0,0,NEG,1
가/죽/어,1,0,1,0,0,0,NEG,1
가/줄,1,0,0,0,0,1,POS,1
가/줄/어,1,0,0,0,0,1,POS,1
가/짧,1,0,1,0,0,0,NEG,1
가/차,1,0,0,0,0,1,POS,1
가/차/기,1,0,0,0,0,1,POS,1
가/차단,1,0,1,0,0,0,NEG,1
